song_id,song_name,id_artists,name_artists,popularity,explicit,song_type,track_number,num_artists,num_available_markets,release_date,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
1TEL6MlSSVLSdhOSddidlJ,needy,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],76,TRUE,Solo,2,1,79,2/8/19,171573,7,0,4,0.78,0.647,0.309,0.00000741,0.202,-7.948,0.0366,0.195,87.045
4uTvPEr01pjTbZgl7jcKBD,NASA,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],76,FALSE,Solo,3,1,79,2/8/19,182000,6,1,4,0.451,0.747,0.458,0,0.252,-6.891,0.303,0.47,75.029
2hloaUoRonYssMuqLCBLTX,bloodline,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],74,TRUE,Solo,4,1,79,2/8/19,216893,2,0,4,0.0815,0.758,0.665,0.000157,0.216,-5.188,0.0774,0.643,151.976
3wFLWP0FcIqHK1wb1CPthQ,fake smile,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],73,TRUE,Solo,5,1,79,2/8/19,208880,9,1,4,0.329,0.45,0.619,0,0.319,-7.412,0.372,0.427,83.3
5Il6Oe7lr5XM7A0cWbVQtr,bad idea,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],74,FALSE,Solo,6,1,79,2/8/19,267107,1,1,4,0.0268,0.847,0.579,0.0545,0.102,-5.314,0.0719,0.569,137.998
27356GVuMPFWiJSZCragoM,make up,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],70,TRUE,Solo,7,1,79,2/8/19,140693,7,1,3,0.0844,0.671,0.714,0.00000148,0.0568,-5.373,0.21,0.477,105.137
2vdBo4ALPYbHRUPKgtE5iC,ghostin,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],72,FALSE,Solo,8,1,79,2/8/19,271467,9,1,4,0.418,0.287,0.364,0.000018,0.185,-8.295,0.0306,0.11,103.777
4T652DlATVHe0jdLKaN3Bw,in my head,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],74,TRUE,Solo,9,1,79,2/8/19,222947,0,1,4,0.173,0.662,0.6,0.000137,0.109,-6.402,0.0703,0.331,134.979
6ocbgoVGwYJhOv1GgI9NsF,7 rings,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],89,TRUE,Solo,10,1,79,2/8/19,178627,1,0,4,0.592,0.778,0.317,0,0.0881,-10.732,0.334,0.327,140.048
4kV4N9D1iKVxx1KLvtTpjS,"break up with your girlfriend, i'm bored",['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],84,TRUE,Solo,12,1,79,2/8/19,190440,5,0,4,0.0421,0.726,0.554,0,0.106,-5.29,0.0917,0.335,169.999
0v2LUO8oTHnkjQ8MmKuXyk,raindrops (an angel cried),['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],66,TRUE,Solo,1,1,79,8/17/18,37640,1,1,5,0.942,0.336,0.231,0,0.188,-6.217,0.0497,0.429,168.685
4mLkiFppf8Xvem6BSY34qw,blazed (feat. Pharrell Williams),"['66CXWjxzNUsdJxJ2JdwvnR', '2RdwBSPQiwcmiDo9kixcl8']","['Ariana Grande', 'Pharrell Williams']",60,TRUE,Collaboration,2,2,79,8/17/18,196360,6,1,4,0.0793,0.795,0.759,0,0.0805,-6.348,0.0528,0.855,110.021
0sdbFOyfgAhAhWq8DpzkaW,the light is coming (feat. Nicki Minaj),"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']","['Ariana Grande', 'Nicki Minaj']",67,TRUE,Collaboration,3,2,79,8/17/18,228373,7,1,4,0.0122,0.877,0.547,0.0000151,0.028,-5.705,0.18,0.687,99.034
5YeHLHDdQ4nKHk81XFWhCU,successful,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],68,TRUE,Solo,7,1,79,8/17/18,227387,0,0,4,0.107,0.847,0.603,0.0000074,0.106,-4.607,0.0397,0.735,114.045
4b7mLZQWsy0rLnrMtPA9fQ,borderline (feat. Missy Elliott),"['66CXWjxzNUsdJxJ2JdwvnR', '2wIVse2owClT7go1WT98tk']","['Ariana Grande', 'Missy Elliott']",61,TRUE,Collaboration,11,2,79,8/17/18,177533,6,0,4,0.058,0.761,0.818,0,0.11,-5.238,0.0978,0.348,110.99
3NbTQ8ZbHU6MSEVUFAVCJ9,better off,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],67,TRUE,Solo,12,1,79,8/17/18,171333,11,1,4,0.216,0.597,0.524,0,0.112,-7.247,0.0537,0.0549,92.568
7u6DMPznGbpziuEgCE0JGQ,get well soon,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],66,TRUE,Solo,15,1,79,8/17/18,322027,9,0,4,0.657,0.604,0.449,0,0.0932,-6.564,0.0353,0.528,100.355
1rNNOKF4kiaNmdkpIKNsvd,raindrops (an angel cried),['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],35,FALSE,Solo,1,1,30,8/17/18,37640,1,1,5,0.943,0.336,0.231,0,0.183,-6.217,0.0493,0.431,168.724
5xSDN95vD3KB25jBwuEZV3,blazed (feat. Pharrell Williams),"['66CXWjxzNUsdJxJ2JdwvnR', '2RdwBSPQiwcmiDo9kixcl8']","['Ariana Grande', 'Pharrell Williams']",33,FALSE,Collaboration,2,2,30,8/17/18,196360,6,1,4,0.0793,0.794,0.759,0,0.0804,-6.347,0.0534,0.854,110.024
2uNre8fPMLoYIVj1P93qVE,the light is coming (feat. Nicki Minaj),"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']","['Ariana Grande', 'Nicki Minaj']",44,FALSE,Collaboration,3,2,30,8/17/18,228373,6,0,4,0.0126,0.876,0.55,0.0000284,0.0272,-5.707,0.161,0.702,99.046
